NYSOFA County Code,County Name,Year,Meal Units Served,Meal Type
40,St. Lawrence,1977,62346,Congregate Meals
40,St. Lawrence,1977,14611,Home Delivered Meals
41,Saratoga,1977,43526,Congregate Meals
41,Saratoga,1977,15993,Home Delivered Meals
42,Schenectady,1977,74259,Congregate Meals
42,Schenectady,1977,45524,Home Delivered Meals
44,Schuyler,1977,16090,Congregate Meals
44,Schuyler,1977,110,Home Delivered Meals
45,Seneca,1977,30416,Congregate Meals
45,Seneca,1977,5969,Home Delivered Meals
46,Steuben,1977,42200,Congregate Meals
46,Steuben,1977,5082,Home Delivered Meals
47,Suffolk,1977,281298,Congregate Meals
47,Suffolk,1977,41054,Home Delivered Meals
48,Sullivan,1977,60312,Congregate Meals
48,Sullivan,1977,14124,Home Delivered Meals
49,Tioga,1977,34809,Congregate Meals
49,Tioga,1977,7678,Home Delivered Meals
50,Tompkins,1977,38481,Congregate Meals
50,Tompkins,1977,3451,Home Delivered Meals
51,Ulster,1977,46665,Congregate Meals
51,Ulster,1977,6752,Home Delivered Meals
52,Warren/Hamilton,1977,54308,Congregate Meals
52,Warren/Hamilton,1977,10072,Home Delivered Meals
53,Washington,1977,22717,Congregate Meals
53,Washington,1977,7148,Home Delivered Meals
54,Wayne,1977,54356,Congregate Meals
54,Wayne,1977,9237,Home Delivered Meals
55,Westchester,1977,287339,Congregate Meals
55,Westchester,1977,5037,Home Delivered Meals
56,Wyoming,1977,35147,Congregate Meals
56,Wyoming,1977,5489,Home Delivered Meals
60,New York City,1977,3892584,Congregate Meals
60,New York City,1977,838508,Home Delivered Meals
1,Albany,1978,106092,Congregate Meals
1,Albany,1978,79161,Home Delivered Meals
2,Allegany,1978,19546,Congregate Meals
2,Allegany,1978,13692,Home Delivered Meals
3,Broome,1978,165220,Congregate Meals
3,Broome,1978,28683,Home Delivered Meals
4,Cattaraugus,1978,50640,Congregate Meals
4,Cattaraugus,1978,8681,Home Delivered Meals
5,Cayuga,1978,53923,Congregate Meals
5,Cayuga,1978,17012,Home Delivered Meals
6,Chautauqua,1978,68828,Congregate Meals
6,Chautauqua,1978,35154,Home Delivered Meals
7,Chemung,1978,61682,Congregate Meals
7,Chemung,1978,7110,Home Delivered Meals
8,Chenango,1978,53865,Congregate Meals
8,Chenango,1978,14975,Home Delivered Meals
9,Clinton,1978,37132,Congregate Meals
9,Clinton,1978,2946,Home Delivered Meals
10,Columbia,1978,30503,Congregate Meals
10,Columbia,1978,5368,Home Delivered Meals
11,Cortland,1978,56509,Congregate Meals
11,Cortland,1978,16776,Home Delivered Meals
12,Delaware,1978,40313,Congregate Meals
12,Delaware,1978,10435,Home Delivered Meals
13,Dutchess,1978,69241,Congregate Meals
13,Dutchess,1978,9360,Home Delivered Meals
14,Erie,1978,609121,Congregate Meals
14,Erie,1978,156245,Home Delivered Meals
15,Essex,1978,33083,Congregate Meals
15,Essex,1978,6945,Home Delivered Meals
16,Franklin,1978,86276,Congregate Meals
16,Franklin,1978,36966,Home Delivered Meals
17,Fulton,1978,27443,Congregate Meals
17,Fulton,1978,3844,Home Delivered Meals
18,Genesee,1978,36845,Congregate Meals
18,Genesee,1978,116,Home Delivered Meals
19,Greene,1978,47801,Congregate Meals
19,Greene,1978,9152,Home Delivered Meals
21,Herkimer,1978,35101,Congregate Meals
21,Herkimer,1978,4809,Home Delivered Meals
22,Jefferson,1978,53890,Congregate Meals
22,Jefferson,1978,12733,Home Delivered Meals
23,Lewis,1978,34714,Congregate Meals
23,Lewis,1978,12641,Home Delivered Meals
24,Livingston,1978,30284,Congregate Meals
24,Livingston,1978,4465,Home Delivered Meals
25,Madison,1978,44309,Congregate Meals
25,Madison,1978,4210,Home Delivered Meals
26,Monroe,1978,198259,Congregate Meals
26,Monroe,1978,5890,Home Delivered Meals
27,Montgomery,1978,59944,Congregate Meals
27,Montgomery,1978,17238,Home Delivered Meals
28,Nassau,1978,344312,Congregate Meals
28,Nassau,1978,95960,Home Delivered Meals
29,Niagara,1978,210941,Congregate Meals
29,Niagara,1978,740,Home Delivered Meals
30,Oneida,1978,143733,Congregate Meals
30,Oneida,1978,18664,Home Delivered Meals
31,Onondaga,1978,177290,Congregate Meals
31,Onondaga,1978,7837,Home Delivered Meals
32,Ontario,1978,34932,Congregate Meals
32,Ontario,1978,7637,Home Delivered Meals
33,Orange,1978,90876,Congregate Meals
33,Orange,1978,13437,Home Delivered Meals
34,Orleans,1978,25407,Congregate Meals
34,Orleans,1978,1287,Home Delivered Meals
35,Oswego,1978,37435,Congregate Meals
35,Oswego,1978,12498,Home Delivered Meals
36,Otsego,1978,47586,Congregate Meals
36,Otsego,1978,8698,Home Delivered Meals
37,Putnam,1978,36299,Congregate Meals
37,Putnam,1978,7020,Home Delivered Meals
38,Rensselaer,1978,77965,Congregate Meals
38,Rensselaer,1978,25945,Home Delivered Meals
39,Rockland,1978,84136,Congregate Meals
39,Rockland,1978,4737,Home Delivered Meals
40,St. Lawrence,1978,65744,Congregate Meals
40,St. Lawrence,1978,33025,Home Delivered Meals
41,Saratoga,1978,41406,Congregate Meals
41,Saratoga,1978,15743,Home Delivered Meals
42,Schenectady,1978,77557,Congregate Meals
42,Schenectady,1978,42038,Home Delivered Meals
43,Schoharie,1978,8195,Congregate Meals
43,Schoharie,1978,1824,Home Delivered Meals
44,Schuyler,1978,20108,Congregate Meals
44,Schuyler,1978,527,Home Delivered Meals
45,Seneca,1978,34373,Congregate Meals
45,Seneca,1978,5432,Home Delivered Meals
46,Steuben,1978,57652,Congregate Meals
46,Steuben,1978,7665,Home Delivered Meals
47,Suffolk,1978,282647,Congregate Meals
47,Suffolk,1978,69431,Home Delivered Meals
48,Sullivan,1978,62708,Congregate Meals
48,Sullivan,1978,11098,Home Delivered Meals
49,Tioga,1978,37873,Congregate Meals
49,Tioga,1978,8410,Home Delivered Meals
50,Tompkins,1978,36511,Congregate Meals
50,Tompkins,1978,5731,Home Delivered Meals
51,Ulster,1978,45401,Congregate Meals
51,Ulster,1978,6050,Home Delivered Meals
52,Warren/Hamilton,1978,62275,Congregate Meals
52,Warren/Hamilton,1978,11038,Home Delivered Meals
53,Washington,1978,26738,Congregate Meals
53,Washington,1978,6062,Home Delivered Meals
54,Wayne,1978,50327,Congregate Meals
54,Wayne,1978,7414,Home Delivered Meals
55,Westchester,1978,351292,Congregate Meals
55,Westchester,1978,8932,Home Delivered Meals
56,Wyoming,1978,38151,Congregate Meals
56,Wyoming,1978,6447,Home Delivered Meals
60,New York City,1978,3383648,Congregate Meals
60,New York City,1978,1088667,Home Delivered Meals
62,Seneca Nation,1978,6648,Congregate Meals
62,Seneca Nation,1978,1671,Home Delivered Meals
1,Albany,1979,126757,Congregate Meals
1,Albany,1979,139284,Home Delivered Meals
2,Allegany,1979,19770,Congregate Meals
2,Allegany,1979,11112,Home Delivered Meals
3,Broome,1979,181347,Congregate Meals
3,Broome,1979,33665,Home Delivered Meals
4,Cattaraugus,1979,46772,Congregate Meals
4,Cattaraugus,1979,6013,Home Delivered Meals
5,Cayuga,1979,54942,Congregate Meals
5,Cayuga,1979,14163,Home Delivered Meals
6,Chautauqua,1979,66200,Congregate Meals
6,Chautauqua,1979,36060,Home Delivered Meals
7,Chemung,1979,65952,Congregate Meals
7,Chemung,1979,6460,Home Delivered Meals
8,Chenango,1979,56601,Congregate Meals
8,Chenango,1979,17611,Home Delivered Meals
9,Clinton,1979,36130,Congregate Meals
9,Clinton,1979,2562,Home Delivered Meals
10,Columbia,1979,43963,Congregate Meals
10,Columbia,1979,6265,Home Delivered Meals
11,Cortland,1979,58284,Congregate Meals
11,Cortland,1979,17053,Home Delivered Meals
12,Delaware,1979,39780,Congregate Meals
12,Delaware,1979,10624,Home Delivered Meals
13,Dutchess,1979,70255,Congregate Meals
13,Dutchess,1979,13979,Home Delivered Meals
14,Erie,1979,685982,Congregate Meals
14,Erie,1979,241727,Home Delivered Meals
15,Essex,1979,27139,Congregate Meals
15,Essex,1979,3156,Home Delivered Meals
16,Franklin,1979,84922,Congregate Meals
16,Franklin,1979,41845,Home Delivered Meals
17,Fulton,1979,33233,Congregate Meals
